iter	Passed	Remaining
470	427427	5591949
471	428331	5590993
472	429208	5589693
473	430155	5589302
474	431089	5588738
475	431970	5587488
476	432883	5586644
477	433767	5585435
478	434634	5584003
479	435502	5582603
480	436428	5581925
481	437315	5580761
482	438200	5579573
483	439085	5578378
484	439982	5577347
485	440867	5576157
486	441771	5575209
487	442669	5574184
488	443576	5573286
489	444470	5572206
490	445351	5570969
491	446246	5569922
492	447153	5569008
493	448070	5568223
494	448970	5567235
495	449873	5566273
496	450768	5565225
497	451655	5564064
498	452542	5562911
499	453429	5561762
500	454327	5560745
501	455258	5560137
502	456143	5558960
503	457069	5558290
504	457978	5557407
505	458861	5556215
506	459770	5555332
507	460673	5554384
508	461547	5553075
509	462472	5552395
510	463404	5551791
511	464314	5550919
512	465206	5549833
513	466141	5549258
514	467047	5548339
515	467980	5547750
516	468913	5547151
517	469792	5545903
518	470698	5544996
519	471588	5543884
520	472485	5542862
521	473357	5541550
522	474241	5540369
523	475099	5538899
524	476019	5538146
525	476902	5536966
526	477794	5535893
527	478684	5534793
528	479577	5533720
529	480464	5532596
530	481361	5531574
531	482233	5530279
532	483145	5529431
533	484034	5528323
534	484933	5527337
535	485818	5526187
536	486722	5525247
537	487609	5524128
538	488482	5522839
539	489373	5521761
540	490258	5520619
541	491114	5519145
542	491983	5517829
543	492908	5517129
544	493770	5515728
545	494675	5514820
546	495564	5513721
547	496472	5512840
548	497357	5511695
549	498263	5510799
550	499144	5509612
551	500029	5508477
552	500921	5507420
553	501825	5506489
554	502699	5505233
555	503590	5504170
556	504469	5502974
557	505408	5502429
558	506279	5501143
559	507155	5499917
560	508054	5498941
561	508934	5497763
562	509838	5496836
563	510723	5495707
564	511603	5494526
565	512665	5495305
566	513618	5494902
567	514524	5493999
568	515431	5493105
569	516411	5492991
570	517558	5494637
571	518624	5495421
572	519592	5495170
573	520559	5494895
574	521460	5493928
575	522365	5492997
576	523368	5493099
577	524380	5493296
578	525454	5494131
579	526431	5493948
580	527395	5493632
581	528396	5493685
582	529424	5494030
583	530614	5496037
584	531678	5496736
585	532675	5496736
586	533582	5495804
587	534600	5496021
588	535509	5495108
589	536422	5494238
590	537343	5493451
591	538316	5493188
592	539372	5493776
593	540359	5493659
594	541314	5493203
595	542516	5495260
596	543645	5496556
597	544571	5495805
598	545502	5495091
599	546396	5494014
600	547490	5494950
601	548600	5496030
602	549660	5496608
603	550641	5496390
604	551693	5496877
605	552611	5496025
606	553508	5494967
607	554419	5494044
608	555314	5492961
609	556317	5492955
610	557282	5492563
611	558192	5491626
612	559165	5491312
613	560074	5490368
614	561015	5489738
615	562090	5490419
616	563122	5490670
617	564201	5491376
618	565210	5491394
619	566201	5491243
620	567219	5491344
621	568275	5491807
622	569393	5492863
623	570437	5493204
624	571398	5492736
625	572357	5492256
626	573309	5491702
627	574259	5491129
628	575237	5490815
629	576230	5490656
630	577201	5490273
631	578148	5489666
632	579109	5489194
633	580055	5488566
634	581010	5488035
635	582009	5487905
636	582979	5487509
637	583940	5487029
638	584915	5486672
639	585891	5486321
640	586820	5485539
641	587800	5485218
642	588777	5484881
643	589740	5484406
644	590726	5484135
645	591692	5483692
646	592630	5482980
647	593610	5482650
648	594559	5482044
649	595516	5481497
650	596456	5480800
651	597419	5480312
652	598365	5479668
653	599342	5479307
654	600274	5478534
655	601212	5477813
656	602187	5477435
657	603127	5476726
658	604043	5475806
659	604966	5474944
660	605919	5474362
661	606847	5473547
662	607829	5473217
663	608758	5472406
664	609707	5471784
665	610666	5471238
