iter	Passed	Remaining
666	16623	27065
667	16643	27033
668	16664	27001
669	16684	26968
670	16704	26937
671	16726	26906
672	16747	26875
673	16774	26853
674	16795	26823
675	16815	26791
676	16840	26766
677	16865	26741
678	16885	26708
679	16908	26681
680	16933	26656
681	16953	26624
682	16974	26592
683	16994	26560
684	17015	26529
685	17035	26497
686	17057	26467
687	17077	26435
688	17099	26406
689	17119	26374
690	17144	26349
691	17173	26330
692	17206	26319
693	17229	26291
694	17254	26265
695	17276	26237
696	17298	26208
697	17320	26179
698	17346	26156
699	17370	26129
700	17392	26101
701	17414	26072
702	17437	26045
703	17461	26018
704	17486	25994
705	17509	25967
706	17531	25937
707	17552	25906
708	17572	25876
709	17593	25844
710	17613	25813
711	17642	25795
712	17664	25765
713	17689	25741
714	17710	25710
715	17730	25679
716	17751	25649
717	17774	25621
718	17794	25589
719	17816	25561
720	17837	25531
721	17866	25512
722	17892	25490
723	17913	25460
724	17934	25429
725	17954	25399
726	17975	25368
727	17995	25337
728	18018	25309
729	18045	25287
730	18065	25257
731	18086	25227
732	18106	25196
733	18128	25167
734	18150	25138
735	18172	25110
736	18199	25089
737	18222	25062
738	18244	25034
739	18267	25006
740	18293	24984
741	18317	24958
742	18341	24932
743	18366	24908
744	18390	24882
745	18412	24854
746	18434	24826
747	18456	24798
748	18483	24776
749	18507	24750
750	18536	24731
751	18558	24703
752	18580	24674
753	18603	24647
754	18629	24624
755	18653	24600
756	18674	24570
757	18695	24541
758	18715	24510
759	18735	24479
760	18758	24452
761	18785	24431
762	18812	24409
763	18838	24387
764	18865	24364
765	18891	24342
766	18919	24321
767	18946	24299
768	18976	24282
769	19001	24257
770	19024	24231
771	19048	24205
772	19069	24176
773	19097	24155
774	19123	24132
775	19145	24104
776	19174	24085
777	19199	24061
778	19224	24037
779	19252	24016
780	19277	23992
781	19303	23968
782	19330	23947
783	19358	23926
784	19381	23899
785	19403	23871
786	19425	23843
787	19446	23814
788	19468	23786
789	19492	23760
790	19519	23739
791	19546	23716
792	19570	23691
793	19596	23669
794	19621	23644
795	19647	23621
796	19674	23600
797	19698	23573
798	19723	23549
799	19743	23520
800	19765	23491
801	19789	23465
802	19810	23437
803	19838	23416
804	19862	23391
805	19883	23361
806	19904	23333
807	19931	23311
808	19955	23286
809	19981	23262
810	20006	23238
811	20034	23216
812	20060	23194
813	20087	23171
814	20112	23147
815	20139	23126
816	20164	23101
817	20192	23080
818	20212	23051
819	20233	23021
820	20256	22995
821	20285	22975
822	20305	22945
823	20326	22917
824	20347	22887
825	20369	22859
826	20394	22835
827	20425	22818
828	20451	22794
829	20478	22772
830	20501	22747
831	20526	22722
832	20552	22699
833	20581	22678
834	20609	22657
835	20630	22629
836	20651	22600
837	20672	22571
838	20692	22542
839	20715	22515
840	20744	22495
841	20768	22470
842	20789	22441
843	20809	22412
844	20831	22384
845	20864	22369
846	20893	22349
847	20924	22330
848	20950	22307
849	20974	22282
850	20999	22258
851	21025	22234
852	21050	22210
853	21077	22188
854	21108	22170
855	21131	22143
856	21152	22115
857	21172	22086
858	21193	22056
859	21213	22027
860	21233	21998
861	21261	21976
862	21283	21949
863	21309	21926
864	21338	21905
865	21366	21884
866	21399	21868
867	21425	21844
868	21452	21822
869	21479	21800
870	21504	21776
871	21531	21753
872	21557	21729
873	21578	21702
874	21599	21673
875	21619	21644
876	21640	21615
877	21660	21586
878	21689	21565
879	21713	21541
880	21739	21517
881	21766	21495
882	21794	21473
883	21820	21450
884	21847	21427
885	21876	21407
886	21902	21383
887	21928	21360
888	21949	21332
889	21972	21306
890	22002	21286
891	22023	21258
892	22044	21229
893	22064	21200
894	22084	21171
895	22104	21142
896	22125	21114
897	22154	21093
898	22182	21071
899	22211	21051
900	22237	21027
901	22264	21005
902	22291	20983
903	22313	20955
904	22339	20932
905	22365	20908
906	22390	20884
907	22410	20855
908	22435	20830
909	22458	20804
910	22481	20778
911	22504	20752
912	22527	20726
913	22549	20699
914	22577	20677
915	22601	20652
916	22625	20627
917	22650	20603
918	22676	20579
919	22709	20562
920	22739	20542
921	22767	20520
922	22798	20500
923	22825	20478
924	22856	20459
925	22879	20433
926	22905	20409
927	22931	20386
928	22958	20363
929	22981	20337
930	23004	20310
931	23026	20284
932	23047	20256
933	23068	20227
934	23088	20199
935	23108	20170
936	23129	20142
937	23164	20127
938	23195	20108
939	23225	20087
940	23259	20071
941	23291	20052
942	23317	20029
943	23342	20004
944	23374	19986
945	23399	19961
946	23420	19933
947	23442	19906
948	23469	19883
949	23499	19863
950	23522	19837
951	23546	19812
952	23570	19786
953	23599	19765
954	23626	19741
955	23653	19719
956	23676	19693
957	23702	19669
958	23725	19643
959	23756	19623
960	23799	19613
961	23820	19586
962	23843	19559
963	23866	19533
964	23893	19510
965	23917	19485
966	23942	19461
967	23968	19437
968	23989	19409
969	24009	19381
970	24038	19359
971	24060	19332
972	24083	19306
973	24114	19286
974	24144	19265
975	24172	19244
976	24199	19220
977	24231	19201
978	24259	19179
979	24289	19158
980	24319	19138
981	24355	19122
982	24386	19102
983	24417	19082
984	24445	19060
985	24473	19037
986	24502	19016
987	24535	18997
988	24562	18974
989	24591	18953
990	24620	18931
991	24648	18908
992	24674	18884
993	24703	18862
994	24724	18835
995	24745	18807
996	24765	18779
997	24786	18751
998	24807	18723
999	24829	18696
1000	24858	18674
1001	24880	18647
1002	24901	18620
1003	24923	18593
1004	24944	18565
1005	24964	18537
1006	24985	18509
1007	25014	18488
1008	25035	18460
1009	25056	18432
1010	25077	18404
1011	25097	18376
1012	25118	18349
1013	25139	18321
1014	25168	18299
1015	25189	18272
1016	25216	18249
1017	25238	18222
1018	25259	18194
1019	25282	18168
1020	25305	18142
1021	25327	18115
1022	25350	18089
1023	25372	18063
1024	25394	18036
1025	25421	18013
1026	25442	17985
1027	25463	17958
1028	25484	17930
1029	25505	17903
1030	25525	17875
1031	25553	17853
1032	25575	17825
1033	25594	17797
1034	25614	17769
1035	25635	17741
1036	25655	17713
1037	25677	17687
1038	25705	17664
1039	25731	17640
1040	25755	17615
1041	25777	17588
1042	25799	17562
1043	25821	17535
1044	25844	17510
1045	25872	17487
1046	25897	17462
1047	25919	17436
1048	25944	17411
1049	25969	17387
1050	25990	17359
1051	26011	17333
1052	26041	17311
1053	26063	17284
1054	26084	17257
1055	26105	17230
1056	26128	17204
1057	26148	17176
1058	26168	17149
1059	26192	17124
1060	26214	17097
1061	26233	17069
1062	26255	17042
1063	26275	17014
1064	26296	16987
1065	26318	16961
1066	26345	16937
1067	26366	16910
1068	26385	16883
1069	26406	16855
1070	26427	16828
1071	26448	16801
1072	26468	16773
1073	26495	16750
1074	26519	16726
1075	26541	16699
1076	26561	16672
1077	26581	16644
1078	26602	16617
1079	26628	16593
1080	26649	16566
1081	26670	16539
1082	26691	16512
1083	26715	16487
1084	26736	16460
1085	26758	16434
1086	26785	16411
1087	26807	16385
1088	26828	16358
1089	26850	16331
1090	26870	16304
1091	26891	16277
1092	26919	16254
1093	26957	16238
1094	26982	16213
1095	27005	16188
1096	27026	16161
1097	27047	16134
1098	27074	16111
1099	27095	16085
1100	27116	16058
1101	27136	16031
1102	27157	16003
1103	27177	15976
1104	27197	15949
1105	27217	15922
1106	27245	15899
1107	27267	15873
1108	27288	15846
1109	27308	15819
1110	27327	15791
1111	27348	15764
1112	27368	15737
1113	27394	15713
1114	27419	15689
1115	27444	15665
1116	27465	15638
1117	27489	15613
1118	27510	15586
1119	27531	15560
1120	27558	15537
1121	27580	15511
1122	27601	15484
1123	27623	15458
1124	27654	15437
1125	27676	15411
1126	27696	15384
1127	27724	15361
1128	27748	15336
1129	27771	15311
1130	27792	15284
1131	27816	15260
1132	27837	15232
1133	27859	15207
1134	27891	15186
1135	27912	15160
1136	27933	15133
1137	27953	15106
1138	27973	15079
1139	27993	15052
1140	28013	15025
1141	28040	15002
1142	28061	14975
1143	28081	14949
1144	28102	14922
1145	28122	14895
1146	28143	14868
1147	28164	14842
1148	28184	14815
1149	28204	14789
1150	28225	14762
1151	28248	14737
1152	28269	14710
1153	28289	14683
1154	28311	14658
1155	28332	14631
1156	28353	14605
1157	28373	14578
1158	28395	14553
1159	28416	14526
1160	28437	14500
1161	28464	14477
1162	28486	14451
1163	28507	14425
1164	28528	14399
1165	28551	14373
1166	28574	14348
1167	28596	14322
1168	28618	14297
1169	28639	14270
1170	28659	14244
1171	28680	14217
1172	28700	14191
1173	28721	14164
1174	28748	14141
1175	28769	14115
1176	28795	14091
1177	28816	14065
1178	28837	14039
1179	28857	14012
1180	28886	13990
1181	28907	13964
1182	28928	13938
1183	28948	13911
1184	28969	13885
1185	28992	13860
1186	29013	13834
1187	29041	13811
1188	29062	13785
1189	29083	13759
1190	29103	13733
1191	29124	13707
1192	29144	13680
1193	29165	13654
1194	29193	13631
1195	29215	13606
1196	29236	13580
1197	29257	13554
1198	29277	13527
1199	29298	13501
1200	29319	13475
1201	29347	13453
1202	29371	13428
1203	29393	13402
1204	29414	13376
1205	29435	13350
1206	29455	13324
1207	29483	13301
1208	29504	13275
1209	29525	13249
1210	29545	13223
1211	29566	13197
1212	29586	13171
1213	29615	13148
1214	29636	13123
1215	29657	13096
1216	29677	13070
1217	29698	13044
1218	29719	13019
1219	29750	12997
1220	29774	12973
1221	29795	12947
1222	29821	12923
1223	29841	12897
1224	29862	12871
1225	29882	12845
1226	29909	12822
1227	29930	12796
1228	29951	12770
1229	29972	12744
1230	29993	12718
1231	30013	12692
1232	30040	12669
1233	30063	12644
1234	30083	12618
1235	30104	12592
1236	30124	12566
1237	30144	12539
1238	30172	12516
1239	30193	12491
1240	30213	12465
1241	30234	12439
1242	30254	12413
1243	30275	12387
1244	30295	12361
1245	30322	12338
1246	30344	12312
1247	30364	12286
1248	30385	12261
1249	30405	12235
1250	30427	12209
1251	30453	12186
1252	30477	12161
1253	30500	12136
1254	30521	12111
1255	30542	12085
1256	30562	12059
1257	30589	12036
1258	30610	12010
1259	30631	11985
1260	30652	11959
1261	30676	11935
1262	30697	11909
1263	30731	11888
1264	30754	11864
1265	30775	11838
1266	30795	11812
1267	30816	11786
1268	30836	11761
1269	30857	11735
1270	30885	11712
1271	30907	11687
1272	30927	11661
1273	30948	11636
1274	30969	11610
1275	30989	11584
1276	31010	11558
1277	31036	11535
1278	31057	11509
1279	31077	11484
1280	31097	11458
1281	31118	11432
1282	31138	11406
1283	31159	11381
1284	31187	11358
1285	31209	11333
1286	31229	11307
1287	31252	11283
1288	31273	11257
1289	31294	11231
1290	31314	11206
1291	31341	11183
1292	31362	11157
1293	31383	11132
1294	31404	11106
1295	31424	11080
1296	31444	11055
1297	31465	11029
1298	31491	11006
1299	31512	10980
1300	31533	10955
1301	31554	10930
1302	31574	10904
1303	31595	10879
1304	31616	10853
1305	31642	10830
1306	31664	10805
1307	31685	10779
1308	31705	10754
1309	31732	10730
1310	31752	10705
1311	31772	10679
1312	31802	10657
1313	31823	10631
1314	31843	10606
1315	31864	10581
1316	31884	10555
1317	31904	10529
1318	31925	10504
1319	31952	10481
1320	31973	10456
1321	31993	10430
1322	32017	10406
1323	32041	10381
1324	32061	10356
1325	32082	10331
1326	32104	10306
1327	32125	10281
1328	32146	10255
1329	32168	10231
1330	32188	10205
1331	32209	10180
1332	32237	10157
1333	32258	10132
1334	32278	10106
1335	32299	10081
1336	32320	10056
1337	32340	10030
1338	32367	10007
1339	32388	9982
1340	32409	9957
1341	32429	9931
1342	32450	9906
1343	32470	9881
1344	32491	9856
1345	32511	9830
1346	32538	9807
1347	32564	9783
1348	32584	9758
1349	32605	9733
1350	32625	9707
1351	32646	9682
1352	32671	9658
1353	32697	9635
1354	32720	9610
1355	32748	9587
1356	32768	9562
1357	32790	9537
1358	32811	9512
1359	32832	9487
1360	32852	9462
1361	32872	9436
1362	32892	9411
1363	32912	9386
1364	32933	9361
1365	32953	9336
1366	32973	9310
1367	33002	9287
1368	33022	9262
1369	33043	9237
1370	33065	9212
1371	33085	9187
1372	33106	9162
1373	33126	9137
1374	33154	9114
1375	33175	9089
1376	33196	9064
1377	33216	9039
1378	33237	9014
1379	33258	8989
1380	33278	8964
1381	33308	8941
1382	33329	8916
1383	33350	8891
1384	33372	8867
1385	33393	8842
1386	33414	8817
1387	33441	8794
1388	33462	8769
1389	33489	8745
1390	33509	8720
1391	33529	8695
1392	33550	8670
1393	33570	8645
1394	33596	8621
1395	33617	8596
1396	33637	8571
1397	33658	8547
1398	33678	8522
1399	33699	8497
1400	33726	8473
1401	33747	8448
1402	33767	8423
1403	33788	8398
1404	33808	8373
1405	33828	8348
1406	33849	8323
1407	33879	8301
1408	33902	8277
1409	33923	8252
1410	33943	8227
1411	33963	8202
1412	33983	8177
1413	34004	8152
1414	34029	8128
1415	34051	8104
1416	34072	8079
1417	34092	8054
1418	34115	8029
1419	34136	8005
1420	34164	7982
1421	34185	7957
1422	34206	7932
1423	34227	7907
1424	34248	7883
1425	34268	7858
1426	34297	7835
1427	34318	7810
1428	34338	7785
1429	34358	7760
1430	34380	7736
1431	34400	7711
1432	34427	7687
1433	34447	7663
1434	34467	7638
1435	34487	7613
1436	34508	7588
1437	34528	7563
1438	34548	7538
1439	34576	7515
1440	34597	7491
1441	34620	7466
1442	34641	7442
1443	34661	7417
1444	34690	7394
1445	34714	7370
1446	34740	7346
1447	34762	7322
1448	34783	7297
1449	34803	7272
1450	34824	7248
1451	34846	7223
1452	34869	7199
1453	34895	7175
1454	34918	7151
1455	34939	7127
1456	34959	7102
1457	34979	7077
1458	35000	7052
1459	35020	7028
1460	35046	7004
1461	35067	6979
1462	35088	6955
1463	35112	6931
1464	35133	6906
1465	35158	6883
1466	35186	6859
1467	35209	6835
1468	35230	6810
1469	35250	6786
1470	35281	6763
1471	35306	6739
1472	35328	6715
1473	35348	6690
1474	35368	6666
1475	35388	6641
1476	35409	6616
1477	35429	6592
1478	35449	6567
1479	35475	6543
1480	35496	6519
1481	35516	6494
1482	35537	6470
1483	35557	6445
1484	35579	6421
1485	35609	6398
1486	35629	6373
1487	35650	6349
1488	35671	6324
1489	35691	6299
1490	35712	6275
1491	35732	6250
1492	35759	6227
1493	35780	6202
1494	35800	6178
1495	35821	6153
1496	35842	6129
1497	35862	6104
1498	35890	6081
1499	35911	6057
1500	35935	6033
1501	35956	6008
1502	35977	5984
1503	35998	5959
1504	36026	5936
1505	36047	5912
1506	36068	5887
1507	36088	5863
1508	36108	5838
1509	36129	5814
1510	36149	5789
1511	36177	5766
1512	36198	5742
1513	36222	5718
1514	36243	5693
1515	36263	5669
1516	36283	5644
1517	36304	5620
1518	36333	5597
1519	36357	5573
1520	36378	5548
1521	36398	5524
1522	36418	5499
1523	36439	5475
1524	36459	5451
1525	36486	5427
1526	36508	5403
1527	36529	5379
1528	36550	5354
1529	36571	5330
1530	36591	5305
1531	36620	5282
1532	36641	5258
1533	36661	5233
1534	36682	5209
1535	36702	5185
1536	36723	5160
1537	36743	5136
1538	36770	5112
1539	36791	5088
1540	36812	5064
1541	36834	5040
1542	36855	5015
1543	36875	4991
1544	36896	4967
1545	36920	4943
1546	36941	4919
1547	36961	4894
1548	36982	4870
1549	37015	4847
1550	37037	4823
1551	37061	4799
1552	37087	4776
1553	37118	4753
1554	37140	4729
1555	37160	4704
1556	37183	4680
1557	37205	4656
1558	37227	4632
1559	37253	4608
1560	37283	4585
1561	37313	4562
1562	37340	4539
1563	37368	4515
1564	37390	4491
1565	37411	4467
1566	37432	4443
1567	37454	4419
1568	37475	4394
1569	37504	4371
1570	37525	4347
1571	37546	4323
1572	37567	4298
1573	37587	4274
1574	37611	4250
1575	37631	4226
1576	37660	4203
1577	37685	4179
1578	37705	4155
1579	37727	4130
1580	37747	4106
1581	37768	4082
1582	37797	4059
1583	37818	4034
1584	37847	4011
1585	37874	3988
1586	37899	3964
1587	37933	3941
1588	37967	3918
1589	37998	3895
1590	38023	3871
1591	38043	3847
1592	38064	3823
1593	38084	3798
1594	38112	3775
1595	38133	3751
1596	38154	3727
1597	38174	3702
1598	38194	3678
1599	38215	3654
1600	38244	3630
1601	38267	3606
1602	38287	3582
1603	38307	3558
1604	38328	3534
1605	38348	3510
1606	38368	3485
1607	38398	3462
1608	38419	3438
1609	38440	3414
1610	38460	3390
1611	38482	3365
1612	38502	3341
1613	38523	3317
1614	38544	3293
1615	38565	3269
1616	38586	3245
1617	38606	3221
1618	38627	3197
1619	38657	3173
1620	38678	3149
1621	38698	3125
1622	38719	3101
1623	38743	3077
1624	38767	3053
1625	38793	3029
1626	38814	3005
1627	38835	2981
1628	38858	2957
1629	38882	2934
1630	38902	2909
1631	38930	2886
1632	38951	2862
1633	38972	2838
1634	38992	2814
1635	39013	2790
1636	39034	2766
1637	39055	2741
